time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-26 00:00:00+00:00,13,6,6.0,1.0
2025-05-27 00:00:00+00:00,9,3,1.0,1.0
2025-05-28 00:00:00+00:00,11,5,5.0,2.0
2025-05-29 00:00:00+00:00,11,5,8.0,2.0
2025-05-30 00:00:00+00:00,12,4,,
2025-05-31 00:00:00+00:00,12,4,,
2025-06-01 00:00:00+00:00,12,4,2.0,1.0
2025-06-02 00:00:00+00:00,9,3,2.0,2.0
2025-06-03 00:00:00+00:00,9,3,2.0,1.0
2025-06-04 00:00:00+00:00,12,4,,
2025-06-05 00:00:00+00:00,10,4,3.0,2.0
2025-06-06 00:00:00+00:00,47,8,14.0,2.0
2025-06-07 00:00:00+00:00,13,4,,
2025-06-08 00:00:00+00:00,2,2,1.0,1.0
