time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,32,11,0,0
2026-04-27 00:00:00+00:00,3,3,0,0
2026-04-28 00:00:00+00:00,26,8,0,0
2026-04-29 00:00:00+00:00,14,4,0,0
2026-04-30 00:00:00+00:00,21,6,0,0
2026-05-01 00:00:00+00:00,33,9,0,0
2026-05-02 00:00:00+00:00,39,10,0,0
2026-05-03 00:00:00+00:00,14,6,0,0
2026-05-04 00:00:00+00:00,29,9,0,0
2026-05-05 00:00:00+00:00,36,10,0,0
2026-05-06 00:00:00+00:00,10,5,0,0
2026-05-07 00:00:00+00:00,21,8,0,0
2026-05-08 00:00:00+00:00,5,5,0,0
2026-05-09 00:00:00+00:00,32,10,0,0
